AREANM,AREACD,Period,Observation
derrylin,95pp08w1,1998,61.411
devenish,95pp09w1,1998,21.076
donagh,95pp10w1,1998,6.689
erne,95pp11w1,1998,93.215
florence-court-and-kinawley,95pp12w1,1998,6.865
irvinestown,95pp13w1,1998,19.816
kesh-ederney-and-lack_1,95pp14s1,1998,3.659
kesh-ederney-and-lack_2,95pp14s2,1998,13.079
lisbellaw,95pp15w1,1998,20.291
lisnarrick,95pp16w1,1998,14.777
lisnaskea,95pp17w1,1998,24.787
maguires-bridge,95pp18w1,1998,13.958
newtownbutler,95pp19w1,1998,9.454
portora,95pp20w1,1998,99.138
rosslea,95pp21w1,1998,7.671
rossorry,95pp22w1,1998,16.658
tempo,95pp23w1,1998,5.802
antiville,95qq01w1,1998,4.736
ballycarry,95qq02w1,1998,10.774
ballyloran,95qq03w1,1998,0.143
blackcave,95qq04w1,1998,27.636
carncastle,95qq05w1,1998,6.677
carnlough,95qq06w1,1998,4.851
central_larne,95qq07w1,1998,33.028
craigy-hill,95qq08w1,1998,2.003
gardenmore,95qq09w1,1998,6.686
glenarm,95qq10w1,1998,7.751
glynn,95qq11w1,1998,9.908
harbour,95qq12w1,1998,51.918
island-magee,95qq13w1,1998,42.443
kilwaughter_1,95qq14s1,1998,28.591
kilwaughter_2,95qq14s2,1998,18.179
town-parks,95qq15w1,1998,27.636
aghanloo_1,95rr01s1,1998,6.831
aghanloo_2,95rr01s2,1998,15.767
ballykelly,95rr02w1,1998,7.896
coolessan,95rr03w1,1998,6.386
dungiven,95rr04w1,1998,14.614
enagh_1_limavady,95rr05s1,1998,4.719
enagh_2_limavady,95rr05s2,1998,5.928
feeny,95rr06w1,1998,6.528
forest,95rr07w1,1998,9.989
glack,95rr08w1,1998,5.219
gresteel_1,95rr09s1,1998,20.191
gresteel_2,95rr09s2,1998,4.624
greystone_limavady,95rr10w1,1998,1.902
magilligan,95rr11w1,1998,22.491
rathbrady,95rr12w1,1998,1.902
roeside,95rr13w1,1998,40.073
the-highlands,95rr14w1,1998,11.13
upper-glenshane,95rr15w1,1998,13.111
ballinderry_1,95ss01s1,1998,49.01
ballinderry_2,95ss01s2,1998,9.79
ballymacash_1,95ss02s1,1998,6.484
ballymacash_2,95ss02s2,1998,9.559
ballymacbrennan_1,95ss03s1,1998,9.866
ballymacbrennan_2,95ss03s2,1998,13.76
ballymacoss_1,95ss04s1,1998,7.153
ballymacoss_2,95ss04s2,1998,3.634
ballymacoss_3,95ss04s3,1998,22.167
blaris_1,95ss05s1,1998,7.964
blaris_2,95ss05s2,1998,71.259
collin-glen_1,95ss06s1,1998,7.948
collin-glen_2,95ss06s2,1998,1.653
collin-glen_3,95ss06s3,1998,0.572
derryaghy_1,95ss07s1,1998,5.578
derryaghy_2,95ss07s2,1998,0.203
derryaghy_3,95ss07s3,1998,82.287
dromara_1,95ss08s1,1998,8.122
dromara_2,95ss08s2,1998,16.737
drumbo_1,95ss09s1,1998,7.187
drumbo_2,95ss09s2,1998,13.034
dunmurry_1,95ss10s1,1998,8.261
dunmurry_2,95ss10s2,1998,29.707
glenavy_1,95ss11s1,1998,10.555
glenavy_2,95ss11s2,1998,15.475
harmony-hill,95ss12w1,1998,13.695
hilden_1,95ss13s1,1998,120.838
hilden_2,95ss13s2,1998,3.216
hillhall_1,95ss14s1,1998,15.955
hillhall_2,95ss14s2,1998,22.18
