indicator,areacd,areanm,geography,observation,unit,measure,period,lower_confidence_interval_95,upper_confidence_interval_95,observation_status
Inward foreign direct investment,E47000003,West Yorkshire,ITL Level 2,14327,£ million,Pounds,2016-01-01/P1Y,,,
Inward foreign direct investment,E47000003,West Yorkshire,ITL Level 2,22310,£ million,Pounds,2018-01-01/P1Y,,,
Inward foreign direct investment,E47000003,West Yorkshire,Combined Authority or City Region,31778,£ million,Pounds,2015-01-01/P1Y,,,
Inward foreign direct investment,E47000003,West Yorkshire,Combined Authority or City Region,14327,£ million,Pounds,2016-01-01/P1Y,,,
Inward foreign direct investment,E47000003,West Yorkshire,Combined Authority or City Region,16337,£ million,Pounds,2017-01-01/P1Y,,,
Inward foreign direct investment,E47000003,West Yorkshire,Combined Authority or City Region,22310,£ million,Pounds,2018-01-01/P1Y,,,
Inward foreign direct investment,E47000003,West Yorkshire,Combined Authority or City Region,23482,£ million,Pounds,2019-01-01/P1Y,,,
Inward foreign direct investment,E47000003,West Yorkshire,Combined Authority or City Region,32282,£ million,Pounds,2020-01-01/P1Y,,,
Inward foreign direct investment,E47000003,West Yorkshire,Combined Authority or City Region,41616,£ million,Pounds,2021-01-01/P1Y,,,
Inward foreign direct investment,TLF,East Midlands,ITL Level 1,56699,£ million,Pounds,2021-01-01/P1Y,,,
Inward foreign direct investment,TLF,East Midlands,ITL Level 1,55379,£ million,Pounds,2020-01-01/P1Y,,,
Inward foreign direct investment,TLF,East Midlands,ITL Level 1,58474,£ million,Pounds,2019-01-01/P1Y,,,
Inward foreign direct investment,TLF,East Midlands,ITL Level 1,52283,£ million,Pounds,2018-01-01/P1Y,,,
Inward foreign direct investment,TLF,East Midlands,ITL Level 1,36572,£ million,Pounds,2016-01-01/P1Y,,,
Inward foreign direct investment,TLF,East Midlands,ITL Level 1,37102,£ million,Pounds,2015-01-01/P1Y,,,
Inward foreign direct investment,TLF,East Midlands,ITL Level 1,42273,£ million,Pounds,2017-01-01/P1Y,,,
Inward foreign direct investment,E47000013,East Midlands,ITL Level 2,20943,£ million,Pounds,2015-01-01/P1Y,,,
Inward foreign direct investment,E47000013,East Midlands,ITL Level 2,21112,£ million,Pounds,2016-01-01/P1Y,,,
