AREACD,AREANM,Geography,Indicator,Observation,Unit,Measure,Period,Lower_confidence_interval_95,Upper_confidence_interval_95,Observation_status
s12000011,east-renfrewshire,local-authority-district,apprenticeships-starts-scotland,431.6622276,"Rate per 100,000 population","Rate per 100,000 population",2018-2019,,,
s12000014,falkirk,local-authority-district,apprenticeships-starts-scotland,712.0865121,"Rate per 100,000 population","Rate per 100,000 population",2024-2025,,,
s12000014,falkirk,local-authority-district,apprenticeships-starts-scotland,674.1692324,"Rate per 100,000 population","Rate per 100,000 population",2023-2024,,,
s12000014,falkirk,local-authority-district,apprenticeships-starts-scotland,708.0332494,"Rate per 100,000 population","Rate per 100,000 population",2022-2023,,,
s12000014,falkirk,local-authority-district,apprenticeships-starts-scotland,688.727223,"Rate per 100,000 population","Rate per 100,000 population",2021-2022,,,
s12000014,falkirk,local-authority-district,apprenticeships-starts-scotland,466.3015366,"Rate per 100,000 population","Rate per 100,000 population",2020-2021,,,
s12000014,falkirk,local-authority-district,apprenticeships-starts-scotland,810.2571884,"Rate per 100,000 population","Rate per 100,000 population",2019-2020,,,
s12000014,falkirk,local-authority-district,apprenticeships-starts-scotland,755.1478704,"Rate per 100,000 population","Rate per 100,000 population",2017-2018,,,
s12000014,falkirk,local-authority-district,apprenticeships-starts-scotland,667.977627,"Rate per 100,000 population","Rate per 100,000 population",2016-2017,,,
s12000014,falkirk,local-authority-district,apprenticeships-starts-scotland,706.4799138,"Rate per 100,000 population","Rate per 100,000 population",2015-2016,,,
s12000014,falkirk,local-authority-district,apprenticeships-starts-scotland,695.2607808,"Rate per 100,000 population","Rate per 100,000 population",2014-2015,,,
s12000014,falkirk,local-authority-district,apprenticeships-starts-scotland,708.9004666,"Rate per 100,000 population","Rate per 100,000 population",2013-2014,,,
s12000014,falkirk,local-authority-district,apprenticeships-starts-scotland,740.1372147,"Rate per 100,000 population","Rate per 100,000 population",2018-2019,,,
s12000015,fife,local-authority-district,apprenticeships-starts-scotland,636.6712041,"Rate per 100,000 population","Rate per 100,000 population",2013-2014,,,
